==============================
MAPK@3 SCORE: 0.2390765095939903
scissors MAPK@3: 0.16936936936936936 common guesses: [('scissors', 45), ('cello', 30), ('The Eiffel Tower', 26)]
onion MAPK@3: 0.1691919191919192 common guesses: [('onion', 45), ('soccer ball', 25), ('blackberry', 24)]
mailbox MAPK@3: 0.16666666666666666 common guesses: [('mailbox', 53), ('lollipop', 42), ('hammer', 30)]
spider MAPK@3: 0.16507430997876857 common guesses: [('spider', 70), ('sun', 42), ('sea turtle', 32)]
dolphin MAPK@3: 0.1621129326047359 common guesses: [('dolphin', 40), ('bridge', 30), ('speedboat', 22)]
fan MAPK@3: 0.16176470588235295 common guesses: [('fan', 54), ('tennis racquet', 45), ('tornado', 39)]
toilet MAPK@3: 0.1581196581196581 common guesses: [('toilet', 48), ('paper clip', 20), ('cell phone', 18)]
tractor MAPK@3: 0.15523809523809526 common guesses: [('tractor', 41), ('rollerskates', 20), ('laptop', 18)]
lightning MAPK@3: 0.15418502202643172 common guesses: [('lightning', 52), ('sword', 29), ('knee', 25)]
megaphone MAPK@3: 0.15372168284789642 common guesses: [('megaphone', 46), ('table', 23), ('fish', 21)]
birthday cake MAPK@3: 0.15360983102918585 common guesses: [('birthday cake', 58), ('cake', 45), ('toaster', 35)]
calendar MAPK@3: 0.15286404416839197 common guesses: [('calendar', 110), ('spreadsheet', 106), ('stove', 72)]
flying saucer MAPK@3: 0.15277777777777776 common guesses: [('flying saucer', 55), ('submarine', 47), ('speedboat', 41)]
leaf MAPK@3: 0.14982269503546097 common guesses: [('leaf', 37), ('feather', 27), ('carrot', 22)]
grapes MAPK@3: 0.14449213161659513 common guesses: [('grapes', 53), ('campfire', 48), ('cello', 47)]
cactus MAPK@3: 0.14393939393939395 common guesses: [('cactus', 41), ('fire hydrant', 24), ('paper clip', 23)]
coffee cup MAPK@3: 0.143030303030303 common guesses: [('mug', 84), ('coffee cup', 66), ('cup', 34)]
chandelier MAPK@3: 0.14276228419654713 common guesses: [('chandelier', 52), ('sailboat', 39), ('rake', 26)]
ceiling fan MAPK@3: 0.14258188824662812 common guesses: [('ceiling fan', 35), ('chandelier', 20), ('hot dog', 19)]
lion MAPK@3: 0.141804788213628 common guesses: [('lion', 40), ('soccer ball', 25), ('basketball', 24)]
frying pan MAPK@3: 0.1388888888888889 common guesses: [('frying pan', 38), ('rifle', 25), ('cannon', 23)]
helmet MAPK@3: 0.1384335154826958 common guesses: [('helmet', 39), ('octagon', 21), ('circle', 21)]
rhinoceros MAPK@3: 0.1372202591283863 common guesses: [('rhinoceros', 61), ('keyboard', 36), ('sheep', 29)]
fire hydrant MAPK@3: 0.13592233009708737 common guesses: [('fire hydrant', 45), ('penguin', 26), ('lantern', 23)]
